nohup: ./build/dev/pm2.sh: Permission denied
nohup: ./build/dev/start_mongod.sh: Permission denied
nohup: ./build/dev/start_mongod.sh: Permission denied
2019-04-13T14:51:37.908+0800 I CONTROL  [initandlisten] MongoDB starting : pid=37050 port=27027 dbpath=/Users/gaozhenze/Documents/localbin/mongo/database 64-bit host=didideMacBook-Air-237.local
2019-04-13T16:54:05.477+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:65396 #15 (2 connections now open)
2019-04-13T16:54:05.481+0800 I NETWORK  [conn15] received client metadata from 127.0.0.1:65396 conn15: { driver: { name: "nodejs", version: "3.2.2" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "17.7.0" }, platform: "Node.js v10.15.3, LE, mongodb-core: 3.2.2" }
2019-04-13T16:54:12.982+0800 I -        [conn15] end connection 127.0.0.1:65396 (2 connections now open)
2019-04-13T16:54:14.067+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:65434 #16 (2 connections now open)
2019-04-13T16:54:14.070+0800 I NETWORK  [conn16] received client metadata from 127.0.0.1:65434 conn16: { driver: { name: "nodejs", version: "3.2.2" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "17.7.0" }, platform: "Node.js v10.15.3, LE, mongodb-core: 3.2.2" }
2019-04-13T16:54:27.945+0800 I -        [conn16] end connection 127.0.0.1:65434 (2 connections now open)
2019-04-13T16:54:32.842+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:65516 #17 (2 connections now open)
2019-04-13T16:54:32.846+0800 I NETWORK  [conn17] received client metadata from 127.0.0.1:65516 conn17: { driver: { name: "nodejs", version: "3.2.2" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "17.7.0" }, platform: "Node.js v10.15.3, LE, mongodb-core: 3.2.2" }
2019-04-13T18:11:43.701+0800 I -        [conn17] end connection 127.0.0.1:65516 (2 connections now open)
2019-04-13T21:26:45.752+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:56540 #18 (2 connections now open)
2019-04-13T21:26:45.756+0800 I NETWORK  [conn18] received client metadata from 127.0.0.1:56540 conn18: { driver: { name: "nodejs", version: "3.2.2" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "17.7.0" }, platform: "Node.js v10.15.3, LE, mongodb-core: 3.2.2" }
2019-04-13T21:27:17.852+0800 I -        [conn18] end connection 127.0.0.1:56540 (2 connections now open)
2019-04-13T21:27:20.565+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:56698 #19 (2 connections now open)
2019-04-13T21:27:20.569+0800 I NETWORK  [conn19] received client metadata from 127.0.0.1:56698 conn19: { driver: { name: "nodejs", version: "3.2.2" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "17.7.0" }, platform: "Node.js v10.15.3, LE, mongodb-core: 3.2.2" }
2019-04-13T21:27:34.176+0800 I -        [conn19] end connection 127.0.0.1:56698 (2 connections now open)
2019-04-13T21:27:50.583+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:56840 #20 (2 connections now open)
2019-04-13T21:27:50.588+0800 I NETWORK  [conn20] received client metadata from 127.0.0.1:56840 conn20: { driver: { name: "nodejs", version: "3.2.2" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "17.7.0" }, platform: "Node.js v10.15.3, LE, mongodb-core: 3.2.2" }
2019-04-13T21:27:57.477+0800 I -        [conn20] end connection 127.0.0.1:56840 (2 connections now open)
2019-04-13T21:27:59.248+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:56883 #21 (2 connections now open)
2019-04-13T21:27:59.252+0800 I NETWORK  [conn21] received client metadata from 127.0.0.1:56883 conn21: { driver: { name: "nodejs", version: "3.2.2" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "17.7.0" }, platform: "Node.js v10.15.3, LE, mongodb-core: 3.2.2" }
2019-04-13T21:28:21.204+0800 I -        [conn21] end connection 127.0.0.1:56883 (2 connections now open)
2019-04-13T21:28:30.414+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:57018 #22 (2 connections now open)
